tid,ra,dec,primary_transit,secondary_transit,period,phase_difference
TIC 0178352046,61.8235,-23.6447,1418.0222090660525,1423.6719425045321,5.776823556727607,0.978
TIC 0178938417,68.275881,-24.013307,1443.0012232066,1442.0864866017816,6.265319211083487,-0.146
TIC 0179966966,215.252173,-39.398192,1601.5917342633554,1602.40448680933,1.5481000875704989,0.525
TIC 0183529462,359.535624,-33.13215,,,14.984493721165377,-0.438
TIC 0184008771,295.438286,40.84357,1691.235690807926,1694.984227553846,11.025108076235531,0.33999999999999997
TIC 0184298625,296.051781,39.394978,1686.1789997001536,1689.1272436772251,9.5412426442448,0.30900000000000005
TIC 0186942457,33.758725,37.266682,1796.2434716053451,1795.9369259278621,12.77273656179125,-0.02400000000000002
TIC 0189084771,233.842581,-53.429164,1638.470778227037,1644.1407866662516,15.079809678762468,0.376
TIC 0189349514,142.328851,-29.628162,1545.3609816838791,1547.7545304082912,2.5142318533741053,0.952
TIC 0192201543,105.744237,42.060388,1845.8689984277253,1837.9410252086964,17.462496077156104,-0.45399999999999985
TIC 0194303300,2.232508,36.766441,1766.723181970876,1767.216069994364,2.5019696623750067,0.19699999999999995
TIC 0197570458,325.994167,-38.017428,1332.332753346732,1334.6562175899319,7.617915551475006,0.30500000000000005
TIC 0198382308,257.408899,57.006243,1931.0174753337567,1931.2855778893422,2.311228927462317,0.1160000000000001
TIC 0199661915,251.324505,56.781888,1716.4266407802206,1709.4547229140503,8.399901043578785,-0.83
TIC 0199708835,253.490731,55.557261,1965.291140803649,1968.5093444951906,10.120137394785496,0.31799999999999995
TIC 0199709055,253.544738,56.365152,1930.2977545030371,1932.1641328681312,3.054629075440535,0.611
TIC 0201924791,41.512625,-56.93348,1362.58188732297,1366.7809370700606,13.63327839964508,0.30800000000000005
TIC 0202442982,227.971132,63.653294,1684.8347830302716,1684.949809289618,2.7387204606308932,0.041999999999999996
TIC 0203001339,304.643248,33.26924,1689.5714579464357,1695.2113191227822,9.067300926602307,0.622
TIC 0206537129,332.916123,-23.31662,1326.9839531851103,1328.3508216005318,1.525522785068751,0.8959999999999999
TIC 0206856569,96.958433,10.696697,1475.6372767269525,1468.9830556643492,8.017133810365381,-0.8300000000000001
TIC 0207080350,320.918984,-39.778802,1332.7682100355053,1335.646118700151,9.107305900777764,0.31599999999999995
TIC 0207528978,206.775822,-59.421847,1597.7600173172912,1597.4541964564112,1.2232834435197193,-0.25
TIC 0207693951,243.707811,-55.544545,1628.2344391681006,1629.3128679229835,2.716445226405581,0.397
TIC 0213514265,257.757647,-52.050881,1628.2501787972312,1629.1835907071202,2.327710498476377,0.401
TIC 0216190934,245.565581,-50.974073,1627.8068485923382,1628.8955618747998,2.6749712099792458,0.40700000000000003
TIC 0217059369,259.614166,-42.982083,1632.0200091027011,1634.3837564928524,5.682085072478827,0.41600000000000004
TIC 0218821972,263.347078,-44.259856,1630.0781075164327,1626.6746676523176,3.537879276627008,-0.962
TIC 0219187649,171.206071,-18.617318,1545.746504008173,1545.8025100229272,2.1540774905536155,0.026000000000000023
TIC 0219238496,64.49655,-48.395879,1391.279863397643,1394.3699437681407,6.505432358942543,0.475
TIC 0219362976,75.114103,-49.423981,1415.8603508604456,1427.746371136987,15.954389632941265,0.745
TIC 0219707463,136.59349,68.445146,1684.2139997831453,1684.3401981919937,4.5070860303010765,0.028000000000000025
TIC 0219771660,262.980371,62.54581,1934.1827307685787,1943.9085649755386,14.494536821102724,0.671
TIC 0219807735,266.617499,61.196462,1919.5595741656448,1938.4019389152031,21.732831314369463,0.867
TIC 0220015845,32.364273,-49.553708,1364.8300440342614,1379.6320927959707,26.33816505642217,0.562
TIC 0220359766,155.054267,-52.194268,1544.2066506935016,1545.8820485000908,1.7598716455768575,0.952
TIC 0220430912,73.117684,-55.697057,1354.8421722731182,1355.8076891552796,2.0326671203398257,0.475
TIC 0220435095,73.641434,-57.513549,2038.6275896381103,2038.4085117702186,3.423091685807926,-0.064
TIC 0229597404,273.472351,72.166065,1959.7290591940384,1962.513881093253,6.372590158386156,0.43699999999999994
TIC 0229679814,197.906592,-28.420527,1570.2643336519338,1564.4695855801797,10.593689345071398,-0.5469999999999999
TIC 0229715760,278.98941,70.160829,1961.552506403846,1956.0314707120501,11.57449830565202,-0.47700000000000004
TIC 0229811538,198.635676,-24.144202,1578.395102478219,1581.5571226158397,11.540219480367355,0.274
TIC 0230065962,230.52851,70.077514,1875.2047778473227,1880.6620578241236,15.956958996494183,0.34199999999999997
TIC 0230086768,246.624584,66.143614,1771.057107745486,1779.928552048098,34.92694607327507,0.254
TIC 0231010756,25.796018,-58.010114,1354.577004838912,1356.616860456223,3.784518770521649,0.5389999999999999
TIC 0231081369,68.073652,-66.916366,1551.171109295136,1543.9746505922246,7.631451434688574,-0.943
TIC 0231205049,100.913089,7.016445,1471.1055634525144,1473.3137877077725,3.09708871705208,0.7129999999999999
TIC 0231275247,41.835439,-51.452888,1358.1205885847016,1354.168797471218,4.0079017378129445,-0.986
TIC 0231828370,23.02049,-63.049552,1326.1728051492985,1324.8858534803442,1.37201670464211,-0.9380000000000001
TIC 0231851620,27.305462,-63.516602,1355.6701385310166,1357.7627400556541,3.7168765979350495,0.563
TIC 0232185093,91.381273,5.966188,1471.5454625580237,1473.9811522341502,4.469155369039172,0.5449999999999999
TIC 0232612416,259.023619,63.105956,1931.2893281412412,1931.4419327900641,4.360132823512612,0.03499999999999992
TIC 0232643392,281.614274,54.276989,1690.1318698898676,1694.6814446836229,9.86892579990306,0.46099999999999997
TIC 0232985036,242.380007,67.364998,1930.6870286815667,1930.184325535661,1.4656068393758117,-0.34299999999999997
TIC 0233058262,269.49618,64.068644,1961.058406103661,1968.915566863968,26.278129633133936,0.29900000000000004
